ASSERTION	AAEDAAEBAQAAAAAAAHCnQA==
ASSERTION	AAECAAIBAAAAAAAAAPA/
RUN	parabank.payment.Payment	payment	1760300941581	 	3.3.1
USER	make payments simultaneously	150	START	1760300942648	1760300942648
USER	make payments simultaneously	151	START	1760300942648	1760300942648
USER	make payments simultaneously	132	START	1760300942647	1760300942647
USER	make payments simultaneously	89	START	1760300942646	1760300942646
USER	make payments simultaneously	153	START	1760300942648	1760300942648
USER	make payments simultaneously	156	START	1760300942648	1760300942648
USER	make payments simultaneously	154	START	1760300942648	1760300942648
USER	make payments simultaneously	159	START	1760300942648	1760300942648
USER	make payments simultaneously	158	START	1760300942648	1760300942648
USER	make payments simultaneously	157	START	1760300942648	1760300942648
USER	make payments simultaneously	160	START	1760300942648	1760300942648
USER	make payments simultaneously	161	START	1760300942649	1760300942649
USER	make payments simultaneously	90	START	1760300942646	1760300942646
USER	make payments simultaneously	164	START	1760300942649	1760300942649
USER	make payments simultaneously	162	START	1760300942649	1760300942649
USER	make payments simultaneously	163	START	1760300942649	1760300942649
USER	make payments simultaneously	152	START	1760300942648	1760300942648
USER	make payments simultaneously	165	START	1760300942649	1760300942649
USER	make payments simultaneously	168	START	1760300942649	1760300942649
USER	make payments simultaneously	167	START	1760300942649	1760300942649
USER	make payments simultaneously	169	START	1760300942649	1760300942649
USER	make payments simultaneously	171	START	1760300942649	1760300942649
USER	make payments simultaneously	170	START	1760300942649	1760300942649
USER	make payments simultaneously	39	START	1760300942615	1760300942615
USER	make payments simultaneously	166	START	1760300942649	1760300942649
USER	make payments simultaneously	96	START	1760300942646	1760300942646
USER	make payments simultaneously	174	START	1760300942649	1760300942649
USER	make payments simultaneously	179	START	1760300942649	1760300942649
USER	make payments simultaneously	180	START	1760300942649	1760300942649
USER	make payments simultaneously	181	START	1760300942649	1760300942649
USER	make payments simultaneously	178	START	1760300942649	1760300942649
USER	make payments simultaneously	155	START	1760300942648	1760300942648
USER	make payments simultaneously	182	START	1760300942649	1760300942649
USER	make payments simultaneously	183	START	1760300942649	1760300942649
USER	make payments simultaneously	185	START	1760300942650	1760300942650
USER	make payments simultaneously	187	START	1760300942650	1760300942650
USER	make payments simultaneously	186	START	1760300942650	1760300942650
USER	make payments simultaneously	114	START	1760300942647	1760300942647
USER	make payments simultaneously	190	START	1760300942650	1760300942650
