ASSERTION	AAECAAMFAAAAAAAAAFlA
RUN	parabank.transaction.TransferLoadSimulation	transferloadsimulation	1760300862331	 	3.3.1
USER	Carga de Transferencias sin Login	94	START	1760300864056	1760300864056
USER	Carga de Transferencias sin Login	96	START	1760300864068	1760300864068
USER	Carga de Transferencias sin Login	97	START	1760300864081	1760300864081
USER	Carga de Transferencias sin Login	98	START	1760300864081	1760300864081
USER	Carga de Transferencias sin Login	99	START	1760300864095	1760300864095
USER	Carga de Transferencias sin Login	100	START	1760300864096	1760300864096
USER	Carga de Transferencias sin Login	101	START	1760300864096	1760300864096
USER	Carga de Transferencias sin Login	102	START	1760300864113	1760300864113
USER	Carga de Transferencias sin Login	104	START	1760300864116	1760300864116
USER	Carga de Transferencias sin Login	103	START	1760300864116	1760300864116
USER	Carga de Transferencias sin Login	105	START	1760300864130	1760300864130
USER	Carga de Transferencias sin Login	106	START	1760300864145	1760300864145
USER	Carga de Transferencias sin Login	107	START	1760300864145	1760300864145
USER	Carga de Transferencias sin Login	108	START	1760300864146	1760300864146
USER	Carga de Transferencias sin Login	109	START	1760300864161	1760300864161
USER	Carga de Transferencias sin Login	110	START	1760300864161	1760300864161
USER	Carga de Transferencias sin Login	111	START	1760300864177	1760300864177
USER	Carga de Transferencias sin Login	112	START	1760300864177	1760300864177
USER	Carga de Transferencias sin Login	113	START	1760300864177	1760300864177
USER	Carga de Transferencias sin Login	114	START	1760300864193	1760300864193
USER	Carga de Transferencias sin Login	115	START	1760300864196	1760300864196
USER	Carga de Transferencias sin Login	116	START	1760300864196	1760300864196
USER	Carga de Transferencias sin Login	117	START	1760300864208	1760300864208
USER	Carga de Transferencias sin Login	118	START	1760300864220	1760300864220
USER	Carga de Transferencias sin Login	119	START	1760300864220	1760300864220
REQUEST	1		Transfer	1760300863439	1760300864194	OK	 
USER	Carga de Transferencias sin Login	1	END	1760300863416	1760300864229
REQUEST	9		Transfer	1760300863487	1760300864231	OK	 
USER	Carga de Transferencias sin Login	9	END	1760300863486	1760300864232
REQUEST	2		Transfer	1760300863438	1760300864234	OK	 
REQUEST	5		Transfer	1760300863468	1760300864234	OK	 
USER	Carga de Transferencias sin Login	2	END	1760300863416	1760300864235
USER	Carga de Transferencias sin Login	5	END	1760300863467	1760300864235
USER	Carga de Transferencias sin Login	120	START	1760300864235	1760300864235
USER	Carga de Transferencias sin Login	122	START	1760300864236	1760300864236
USER	Carga de Transferencias sin Login	121	START	1760300864236	1760300864236
USER	Carga de Transferencias sin Login	123	START	1760300864251	1760300864251
REQUEST	4		Transfer	1760300863470	1760300864253	OK	 
USER	Carga de Transferencias sin Login	4	END	1760300863467	1760300864254
REQUEST	11		Transfer	1760300863500	1760300864260	OK	 
USER	Carga de Transferencias sin Login	11	END	1760300863499	1760300864261
REQUEST	10		Transfer	1760300863500	1760300864262	OK	 
USER	Carga de Transferencias sin Login	10	END	1760300863499	1760300864263
USER	Carga de Transferencias sin Login	124	START	1760300864267	1760300864267
USER	Carga de Transferencias sin Login	125	START	1760300864267	1760300864267
REQUEST	3		Transfer	1760300863447	1760300864269	OK	 
USER	Carga de Transferencias sin Login	3	END	1760300863446	1760300864269
USER	Carga de Transferencias sin Login	126	START	1760300864267	1760300864267
USER	Carga de Transferencias sin Login	127	START	1760300864283	1760300864283
REQUEST	16		Transfer	1760300863537	1760300864286	OK	 
USER	Carga de Transferencias sin Login	129	START	1760300864286	1760300864286
USER	Carga de Transferencias sin Login	16	END	1760300863536	1760300864287
REQUEST	8		Transfer	1760300863485	1760300864287	OK	 
USER	Carga de Transferencias sin Login	8	END	1760300863483	1760300864288
USER	Carga de Transferencias sin Login	128	START	1760300864283	1760300864283
USER	Carga de Transferencias sin Login	131	START	1760300864298	1760300864298
USER	Carga de Transferencias sin Login	130	START	1760300864298	1760300864298
REQUEST	6		Transfer	1760300863471	1760300864300	OK	 
REQUEST	18		Transfer	1760300863548	1760300864301	OK	 
USER	Carga de Transferencias sin Login	6	END	1760300863467	1760300864301
USER	Carga de Transferencias sin Login	18	END	1760300863547	1760300864302
REQUEST	15		Transfer	1760300863532	1760300864312	OK	 
REQUEST	7		Transfer	1760300863484	1760300864312	OK	 
USER	Carga de Transferencias sin Login	15	END	1760300863531	1760300864312
USER	Carga de Transferencias sin Login	7	END	1760300863483	1760300864313
