ASSERTION	AAEDAAEBAQAAAAAAAECfQA==
RUN	parabank.login.LoginBaseLoad	loginbaseload	1760300893369	 	3.3.1
USER	Login	56	END	1760300894328	1760300895138
REQUEST	36		login	1760300894326	1760300895138	OK	 
REQUEST	28		login	1760300894325	1760300895138	OK	 
USER	Login	28	END	1760300894297	1760300895138
USER	Login	36	END	1760300894298	1760300895138
REQUEST	88		login	1760300894330	1760300895142	OK	 
USER	Login	88	END	1760300894330	1760300895142
REQUEST	87		login	1760300894330	1760300895146	OK	 
USER	Login	87	END	1760300894330	1760300895146
REQUEST	55		login	1760300894328	1760300895147	OK	 
USER	Login	55	END	1760300894328	1760300895147
REQUEST	74		login	1760300894329	1760300895156	OK	 
USER	Login	74	END	1760300894329	1760300895156
REQUEST	32		login	1760300894326	1760300895156	OK	 
USER	Login	32	END	1760300894297	1760300895157
REQUEST	46		login	1760300894325	1760300895158	OK	 
USER	Login	46	END	1760300894299	1760300895158
REQUEST	18		login	1760300894326	1760300895160	OK	 
USER	Login	18	END	1760300894295	1760300895160
REQUEST	100		login	1760300894331	1760300895165	OK	 
USER	Login	100	END	1760300894330	1760300895165
REQUEST	66		login	1760300894329	1760300895167	OK	 
USER	Login	66	END	1760300894328	1760300895168
REQUEST	92		login	1760300894330	1760300895169	OK	 
USER	Login	92	END	1760300894330	1760300895169
REQUEST	98		login	1760300894330	1760300895170	OK	 
USER	Login	98	END	1760300894330	1760300895170
REQUEST	57		login	1760300894328	1760300895171	OK	 
USER	Login	57	END	1760300894328	1760300895172
REQUEST	65		login	1760300894329	1760300895174	OK	 
USER	Login	65	END	1760300894328	1760300895174
REQUEST	82		login	1760300894330	1760300895174	OK	 
USER	Login	82	END	1760300894330	1760300895175
REQUEST	21		login	1760300894327	1760300895175	OK	 
USER	Login	21	END	1760300894296	1760300895175
REQUEST	76		login	1760300894330	1760300895177	OK	 
USER	Login	76	END	1760300894329	1760300895177
REQUEST	50		login	1760300894328	1760300895183	OK	 
REQUEST	90		login	1760300894330	1760300895183	OK	 
USER	Login	50	END	1760300894328	1760300895183
USER	Login	90	END	1760300894330	1760300895184
REQUEST	26		login	1760300894333	1760300895185	OK	 
USER	Login	26	END	1760300894297	1760300895185
REQUEST	40		login	1760300894326	1760300895186	OK	 
USER	Login	40	END	1760300894298	1760300895187
REQUEST	54		login	1760300894328	1760300895187	OK	 
USER	Login	54	END	1760300894328	1760300895187
REQUEST	4		login	1760300894325	1760300895188	OK	 
USER	Login	4	END	1760300894291	1760300895189
REQUEST	53		login	1760300894328	1760300895193	OK	 
USER	Login	53	END	1760300894328	1760300895194
REQUEST	43		login	1760300894326	1760300895194	OK	 
USER	Login	43	END	1760300894298	1760300895194
REQUEST	25		login	1760300894325	1760300895196	OK	 
USER	Login	25	END	1760300894297	1760300895197
REQUEST	75		login	1760300894329	1760300895197	OK	 
USER	Login	75	END	1760300894329	1760300895197
REQUEST	63		login	1760300894329	1760300895201	OK	 
USER	Login	63	END	1760300894328	1760300895201
REQUEST	61		login	1760300894329	1760300895208	OK	 
USER	Login	61	END	1760300894328	1760300895209
REQUEST	44		login	1760300894327	1760300895210	OK	 
USER	Login	44	END	1760300894299	1760300895210
REQUEST	84		login	1760300894330	1760300895217	OK	 
USER	Login	84	END	1760300894330	1760300895217
REQUEST	95		login	1760300894330	1760300895223	OK	 
USER	Login	95	END	1760300894330	1760300895224
REQUEST	99		login	1760300894331	1760300895231	OK	 
USER	Login	99	END	1760300894330	1760300895231
REQUEST	27		login	1760300894327	1760300895232	OK	 
USER	Login	27	END	1760300894297	1760300895232
REQUEST	1		login	1760300894325	1760300895234	OK	 
REQUEST	52		login	1760300894328	1760300895235	OK	 
REQUEST	31		login	1760300894327	1760300895235	OK	 
REQUEST	96		login	1760300894330	1760300895235	OK	 
USER	Login	1	END	1760300894291	1760300895235
USER	Login	52	END	1760300894328	1760300895235
USER	Login	31	END	1760300894297	1760300895235
USER	Login	96	END	1760300894330	1760300895235
REQUEST	85		login	1760300894330	1760300895236	OK	 
USER	Login	85	END	1760300894330	1760300895236
REQUEST	39		login	1760300894327	1760300895239	OK	 
USER	Login	39	END	1760300894298	1760300895240
REQUEST	70		login	1760300894331	1760300895241	OK	 
USER	Login	70	END	1760300894329	1760300895242
REQUEST	64		login	1760300894329	1760300895243	OK	 
USER	Login	64	END	1760300894328	1760300895244
REQUEST	8		login	1760300894325	1760300895246	OK	 
USER	Login	8	END	1760300894292	1760300895247
REQUEST	59		login	1760300894328	1760300895247	OK	 
USER	Login	59	END	1760300894328	1760300895248
REQUEST	22		login	1760300894334	1760300895250	OK	 
USER	Login	22	END	1760300894296	1760300895250
REQUEST	93		login	1760300894330	1760300895251	OK	 
USER	Login	93	END	1760300894330	1760300895251
REQUEST	6		login	1760300894327	1760300895254	OK	 
USER	Login	6	END	1760300894292	1760300895254
REQUEST	11		login	1760300894325	1760300895255	OK	 
USER	Login	11	END	1760300894293	1760300895255
REQUEST	91		login	1760300894330	1760300895259	OK	 
USER	Login	91	END	1760300894330	1760300895260
REQUEST	77		login	1760300894330	1760300895259	OK	 
USER	Login	77	END	1760300894329	1760300895260
REQUEST	19		login	1760300894325	1760300895260	OK	 
USER	Login	19	END	1760300894295	1760300895261
REQUEST	2		login	1760300894325	1760300895261	OK	 
USER	Login	2	END	1760300894291	1760300895261
REQUEST	33		login	1760300894325	1760300895267	OK	 
USER	Login	33	END	1760300894298	1760300895267
REQUEST	89		login	1760300894330	1760300895269	OK	 
USER	Login	89	END	1760300894330	1760300895269
REQUEST	71		login	1760300894329	1760300895272	OK	 
USER	Login	71	END	1760300894329	1760300895273
REQUEST	72		login	1760300894329	1760300895274	OK	 
USER	Login	72	END	1760300894329	1760300895275
REQUEST	20		login	1760300894326	1760300895277	OK	 
USER	Login	20	END	1760300894295	1760300895278
REQUEST	14		login	1760300894326	1760300895278	OK	 
USER	Login	14	END	1760300894294	1760300895279
REQUEST	58		login	1760300894329	1760300895281	OK	 
USER	Login	58	END	1760300894328	1760300895281
REQUEST	86		login	1760300894330	1760300895285	OK	 
REQUEST	97		login	1760300894330	1760300895285	OK	 
USER	Login	97	END	1760300894330	1760300895286
USER	Login	86	END	1760300894330	1760300895286
REQUEST	29		login	1760300894327	1760300895298	OK	 
REQUEST	78		login	1760300894330	1760300895298	OK	 
REQUEST	23		login	1760300894325	1760300895298	OK	 
USER	Login	29	END	1760300894297	1760300895299
USER	Login	78	END	1760300894329	1760300895299
USER	Login	23	END	1760300894296	1760300895299
REQUEST	79		login	1760300894330	1760300896089	OK	 
USER	Login	79	END	1760300894329	1760300896091
REQUEST	15		login	1760300894327	1760300896092	OK	 
USER	Login	15	END	1760300894294	1760300896093
REQUEST	35		login	1760300894326	1760300896096	OK	 
USER	Login	35	END	1760300894298	1760300896097
REQUEST	67		login	1760300894329	1760300896103	OK	 
USER	Login	67	END	1760300894329	1760300896104
REQUEST	47		login	1760300894325	1760300896105	OK	 
USER	Login	47	END	1760300894299	1760300896105
REQUEST	37		login	1760300894327	1760300896117	OK	 
USER	Login	37	END	1760300894298	1760300896117
REQUEST	3		login	1760300894325	1760300896123	OK	 
USER	Login	3	END	1760300894291	1760300896124
REQUEST	69		login	1760300894331	1760300896130	OK	 
USER	Login	69	END	1760300894329	1760300896131
REQUEST	5		login	1760300894326	1760300896147	OK	 
REQUEST	9		login	1760300894326	1760300896147	OK	 
REQUEST	49		login	1760300894328	1760300896147	OK	 
USER	Login	9	END	1760300894292	1760300896147
USER	Login	49	END	1760300894328	1760300896147
USER	Login	5	END	1760300894292	1760300896147
REQUEST	41		login	1760300894327	1760300896155	OK	 
USER	Login	41	END	1760300894298	1760300896155
REQUEST	81		login	1760300894330	1760300896161	OK	 
USER	Login	81	END	1760300894330	1760300896161
REQUEST	17		login	1760300894326	1760300896164	OK	 
USER	Login	17	END	1760300894294	1760300896165
REQUEST	68		login	1760300894331	1760300896168	OK	 
USER	Login	68	END	1760300894329	1760300896168
REQUEST	73		login	1760300894329	1760300896182	OK	 
USER	Login	73	END	1760300894329	1760300896183
